"","Acrónimo","Título","Descripción","Año","Mes","Día","Ciudad","País","Tópicos"
"43","PAIR-AAAI-2020","PAIR-20: AAAI-20 Workshop on Plan Activity and Intent Recognition",""," 2020","Feb","7","New York","United States","artificial intelligence,activity recognition,goal recognition,plan recognition,"
"44","JAEIS2019","<U+65E5><U+672C><U+60C5><U+5831><U+79D1><U+6559><U+80B2><U+5B66><U+4F1A>2019<U+5E74><U+5EA6><U+5B66><U+4F1A><U+8A8C>","",NA,"-",NA,"","","<U+60C5><U+5831><U+79D1><U+6559><U+54E1><U+990A><U+6210>·<U+7814><U+4FEE>,<U+793E><U+4F1A><U+3068><U+60C5><U+5831>,<U+60C5><U+5831><U+306E><U+79D1><U+5B66>,<U+60C5><U+5831><U+79D1><U+6559><U+80B2>,"
"45","CLEAR2020","The 5th International Conference on Contaminated Land, Ecological Assessment and Remediation|",""," 2020","May","13","London","UK","climate change,sustainability,sustainable development,environment,"
"46","QCEC 2020","Quantum Computing & Engineering Conference",""," 2020","Jun","5","Laurel","United States","global quantum research,quantum computing and articifial intelligence,quantum information theory and science,quantum computing algorithms,"
"47","BPM 2020","18th International Conference on Business Process Management",""," 2020","Sep","15","Sevilla","Spain","business process automation,process mining,business process modeling,business process management,"
"48","ITCS20","Innovations in Theoretical Computer Science",""," 2020","Jan","12","Seattle","United States","theoretical computer science,"
"49","FL-LATAM19","Fablearn Latin America 2019",""," 2019","Nov","8","Montevideo","Uruguay","constructionism,digital fabrication,maker education,"
"50","GURT 2020","Georgetown Round Table of Languages and Linguistics 2020",""," 2020","Mar","13","Washington","United States","multilingualism,"
"51","IEEE DAPPS 2020","The 2nd IEEE International Conference on Decentralized Applications and Infrastructures",""," 2020","Apr","13","Oxford","UK","distributed ledger technologies,decentralized applications,smart contracts,blockchain,"
"52","WEPA 2019","Third Workshop on Enumeration Problems and Applications",""," 2019","Oct","28","Hyogo","Japan","counting,enumeration,listing,algorithms,"
"53","BENEVOL 2019","18th Belgium-Netherlands Software Evolution Workshop",""," 2019","Nov","28","Brussels","Belgium","software engineering,"
"54","IC-ICN-2020","International Conference on Intelligent Computing and Networking",""," 2020","Feb","28","Kandivali East Mumbai","India","networking,intelligent computing,"
"55","17 ERGODESIGN & USIHC","17 Congresso Internacional de Ergodesign e Usabilidade de Interfaces Humano-Tecnologia: Produto, Informação, Ambiente Construido e Transportes & 17 Congresso Internacional de Ergodesign e Usabilidade de Interfaces Humano-Computador",""," 2019","Dec","11","Rio de Janeiro","Brazil",""
"56","ICCABS 2019","IEEE 9th International Conference on Computational Advances in Bio and medical Sciences (ICCABS)",""," 2019","Nov","15","Miami","United States","biomedical informatics,big data,bioinformatics,computational biology,"
"57","KHURELTOGOOT2019","15th International Conference of Technology and Innovation of Young Researchers’ ""KHURELTOGOOT 2019""",""," 2019","Oct","26","Ulaanbaatar","Mongolia",""
"58","CPEE 2019","2019 IEEE 20th International Conference on Computational Problems of Electrical Engineering",""," 2019","Sep","15","Lviv","Ukraine","education,specific biomedical problems,signal processing,numerical and optimization methods,"
"59","PlantComp2020","Workshop on plant sensing and computing",""," 2020","Jan","21","Gent","Belgium","plant sensing,plant physiology,computing,modelling,"
"60","CIIA 2019","Congreso Internacional de Informatica Administrativa",""," 2019","Oct","16","Atlacomulco","Mexico","ciencia de datos,inteligencia artificial,"
"61","ERPBSS-2020","Fifth International Conference on Emerging Research Paradigms in Business and Social Sciences",""," 2020","Jan","13","Dubai","UAE","innovation,opportunity,mobility,sustainability,"
"62","ICDMST20","2nd International Conference on Digital Marketing, Smart Tourism",""," 2020","Mar","20","Hammamet","Tunisia",""
"63","ISERT 2020","International Conference on Interdisciplinary Studies in Education Research and Technology",""," 2020","Dec","21","Dubai","UAE","business administration and financial development,computer science and information technology,arts education and humanities,engineering science and technologies,"
"64","V FIB2019","V Fórum Internacional de Biofotônica",""," 2019","Oct","1","São Paulo","Brazil",""
"65","ICAIA2020","The International Conference on Artificial Intelligence and Applications",""," 2020","Feb","7","JANAKPURI","India","fuzzy logic,artificial intelligence,technology,science,"
"66","CITASEP-2020","Computational Intelligence Techniques and their Applications to Software Engineering Problems",""," 2020","Oct","17","Delhi","India","metaheuristics for test case optimization,intelligent feature selection techniques,software quality prediction,computational intelligence techniques,"
"67","2 CEIAAIT","2do. Congreso Estudiantil de Inteligencia Artificial Aplicada a La Ingeniería y Tecnología",""," 2019","Nov","13","Cuautitlán Izcalli","Mexico","artificial intelligence,tecnología,ingeniería,inteligencia artificial,"
"68","ICAET 2020","International Conferences on Advances in Energy Technology",""," 2020","Jan","17","Khurda","India","renewal energy,energy systems,green technology,energy technology,"
"69","LINQ 2019","Learning Innovations and Quality (LINQ) 2019",""," 2019","Nov","22","Roermond","Netherlands",""
"70","ICPET-2019","3rd International Conference on Paradigms in Engineering and Technology","",NA,"-",NA,"Hyderabad","India","electrical and electronics communication engineering,computer science engineering,mechanical engineering,civil engineering,"
"71","ICDA’2019","1 st International Conference on Digitization and it’s Applications",""," 2019","Dec","2","M’sila","Algeria","digitization in high education,innovative teaching through online platforms,ict for learning,computer science,"
"72","SMART2019","Eight IEEE International Conference on System Modeling & Advancement in Research Trends",""," 2019","Nov","22","Moradabad","India","iot,emerging technologies,"
"73","Synsemkwa1","Syntax and semantics of Kwa Workshop in honor of Felix Ameka, Kweku Osam and Kofi Saah","",NA,"-",NA,"Legon","Ghana","serial verb constructions,semantics of kwa languages,syntax of kwa languages,information structure,"
"74","PARC 2020","International Conference on Power Electronics & IoT Applications in Renewable Energy and its Control",""," 2020","Feb","28","Mathura","India","renewable enegy applications & control,iot analytics for renewable sector,renewable energy grid integration,power electronics in renewabel energy,"
"75","CASSW2019","9th IEEE CASS Rio Grande do Sul Workshop",""," 2019","Oct","15","Porto Alegre","Brazil",""
"76","ERPBSS-2020","Fifth International Conference on Emerging Research Paradigms in Business and Social Sciences (ERPBSS-2020)",""," 2020","Jan","14","Dubai","UAE","innovation,opportunity,mobility,sustainability,"
"77","ICEAS 2019","Internasional Conference on Environmental and Agriculture Sustainability 2019",""," 2019","Nov","4","Palu","Indonesia","environmental and fishing industry,agromedical sustainability,agriculture impact on environment,environmental education,"
"78","SOM 2019","XXIII Annual International Conference of the Society of Operations Management",""," 2019","Dec","19","Kanpur","India","lean operations,logistics management,supply chain management,operations management,"
"79","SNG 2019","Seminar Nasional Geofisika 2019",""," 2019","Oct","12","Makassar","Indonesia","seismology,meteorology oceanography,geophysics,seismic,"
"80","IC-VUCA 2019","International Conference on Volatility, Uncertainty, Complexity, and Ambiguity in Business",""," 2019","Nov","23","Meerut","India",""
"81","COSM 2020","COSM 2020: Canadian Obesity Student Meeting",""," 2020","Jun","17","Toronto","Canada","weight bias and stigma,obesity prevention and treatment,populations,health policy,"
"82","ICHFCT’20","2nd International Conference on Hydrogen & Fuel Cell Energy Technologies",""," 2020","Mar","20","Hammamet","Tunisia","metal hydrogen,"
"83","VMBO 2020","The 14th International Workshop on Value Modelling and Business Ontologies",""," 2020","Jan","16","Brussels","Belgium","business models,business ontology,value modelling,service design,"
"84","KDF2020","The AAAI-20 Workshop on Knowledge Discovery from Unstructured Data in Financial Services",""," 2020","Feb","7","New York","United States","machine learning,artificial intelligence,knowledge discovery,natural language processing,"
"85","IKIT 2020","International WorkShop on Information and Knowledge in Internet of Things",""," 2020","Feb","5","Bogotá","Colombia","security in information systems,pervasive business intelligence,iot knowledge network,context aware systems and applications,"
